PC4;Woonplaatscode;Woonplaats;Gemeentecode;Gemeente;Provincie;Veiligheidsregio;Politie-eenheid;Omgevingsdienst
9446;1147;Amen;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9465;1148;Anderen;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9467;1149;Anloo;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9468;1150;Annen;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9654;1151;Annerveenschekanaal;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9459;1153;Ballo‰rveld;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9458;1152;Balloo;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9457;1154;Deurze;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9463;1155;Eext;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9658;1156;Eexterveen;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9659;1157;Eexterveenschekanaal;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9464;1158;Eexterzandvoort;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9454;1159;Ekehaar;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9453;1160;Eldersloo;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9456;1161;Eleveld;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9462;1162;Gasselte;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9514;1163;Gasselternijveen;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9515;1163;Gasselternijveen;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9515;1164;Gasselternijveenschemond;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9466;1165;Gasteren;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9455;1166;Geelbroek;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9461;1167;Gieten;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9511;1168;Gieterveen;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9444;1169;Grolloo;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9448;1170;Marwijksoord;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9657;1171;Nieuw Annerveen;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9512;1172;Nieuwediep;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9452;1173;Nijlande;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9449;1174;Nooitgedacht;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9655;1175;Oud Annerveen;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9447;1176;Papenvoort;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9451;1177;Rolde;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9469;1178;Schipborg;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9443;1179;Schoonloo;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9656;1180;Spijkerboor;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9445;1181;Vredenheim;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
4269;1951;Babyloni‰nbroek;0738;Aalburg;Noord-Brabant;Midden- en West-Brabant;Zeeland - West-Brabant;Midden- en West-Brabant
4267;1952;Drongelen;0738;Aalburg;Noord-Brabant;Midden- en West-Brabant;Zeeland - West-Brabant;Midden- en West-Brabant
4266;1953;Eethen;0738;Aalburg;Noord-Brabant;Midden- en West-Brabant;Zeeland - West-Brabant;Midden- en West-Brabant
4265;1954;Genderen;0738;Aalburg;Noord-Brabant;Midden- en West-Brabant;Zeeland - West-Brabant;Midden- en West-Brabant
4268;1955;Meeuwen;0738;Aalburg;Noord-Brabant;Midden- en West-Brabant;Zeeland - West-Brabant;Midden- en West-Brabant
4264;1956;Veen;0738;Aalburg;Noord-Brabant;Midden- en West-Brabant;Zeeland - West-Brabant;Midden- en West-Brabant
4261;1957;Wijk en Aalburg;0738;Aalburg;Noord-Brabant;Midden- en West-Brabant;Zeeland - West-Brabant;Midden- en West-Brabant
1431;2571;Aalsmeer;0358;Aalsmeer;Noord-Holland;Amsterdam-Amstelland;Amsterdam;Noordzeekanaalgebied
1432;2571;Aalsmeer;0358;Aalsmeer;Noord-Holland;Amsterdam-Amstelland;Amsterdam;Noordzeekanaalgebied
1433;2572;Kudelstaart;0358;Aalsmeer;Noord-Holland;Amsterdam-Amstelland;Amsterdam;Noordzeekanaalgebied
7121;1193;Aalten;0197;Aalten;Gelderland;Noord- en Oost-Gelderland;Oost-Nederland;Achterhoek
7122;1193;Aalten;0197;Aalten;Gelderland;Noord- en Oost-Gelderland;Oost-Nederland;Achterhoek
7123;1193;Aalten;0197;Aalten;Gelderland;Noord- en Oost-Gelderland;Oost-Nederland;Achterhoek
7126;1194;Bredevoort;0197;Aalten;Gelderland;Noord- en Oost-Gelderland;Oost-Nederland;Achterhoek
7095;1195;De Heurne;0197;Aalten;Gelderland;Noord- en Oost-Gelderland;Oost-Nederland;Achterhoek
7091;1196;Dinxperlo;0197;Aalten;Gelderland;Noord- en Oost-Gelderland;Oost-Nederland;Achterhoek
9284;3173;Augustinusga;0059;Achtkarspelen;Friesland;Fryslƒn;Noord-Nederland;FUMO
9233;3174;Boelenslaan;0059;Achtkarspelen;Friesland;Fryslƒn;Noord-Nederland;FUMO
9285;3175;Buitenpost;0059;Achtkarspelen;Friesland;Fryslƒn;Noord-Nederland;FUMO
9289;3176;Drogeham;0059;Achtkarspelen;Friesland;Fryslƒn;Noord-Nederland;FUMO
9873;3177;Gerkesklooster;0059;Achtkarspelen;Friesland;Fryslƒn;Noord-Nederland;FUMO
9281;3178;Harkema;0059;Achtkarspelen;Friesland;Fryslƒn;Noord-Nederland;FUMO
9288;3179;Kootstertille;0059;Achtkarspelen;Friesland;Fryslƒn;Noord-Nederland;FUMO
9871;3180;Stroobos;0059;Achtkarspelen;Friesland;Fryslƒn;Noord-Nederland;FUMO
9872;3180;Stroobos;0059;Achtkarspelen;Friesland;Fryslƒn;Noord-Nederland;FUMO
9231;3181;Surhuisterveen;0059;Achtkarspelen;Friesland;Fryslƒn;Noord-Nederland;FUMO
9283;3182;Surhuizum;0059;Achtkarspelen;Friesland;Fryslƒn;Noord-Nederland;FUMO
9286;3183;Twijzel;0059;Achtkarspelen;Friesland;Fryslƒn;Noord-Nederland;FUMO
9287;3184;Twijzelerheide;0059;Achtkarspelen;Friesland;Fryslƒn;Noord-Nederland;FUMO
2951;2386;Alblasserdam;0482;Alblasserdam;Zuid-Holland;Zuid-Holland-Zuid;Rotterdam;Zuid-Holland Zuid
2952;2386;Alblasserdam;0482;Alblasserdam;Zuid-Holland;Zuid-Holland-Zuid;Rotterdam;Zuid-Holland Zuid
2953;2386;Alblasserdam;0482;Alblasserdam;Zuid-Holland;Zuid-Holland-Zuid;Rotterdam;Zuid-Holland Zuid
2954;2386;Alblasserdam;0482;Alblasserdam;Zuid-Holland;Zuid-Holland-Zuid;Rotterdam;Zuid-Holland Zuid
3171;2363;Poortugaal;0613;Albrandswaard;Zuid-Holland;Rotterdam-Rijnmond;Rotterdam;DCMR
3172;2363;Poortugaal;0613;Albrandswaard;Zuid-Holland;Rotterdam-Rijnmond;Rotterdam;DCMR
3176;2363;Poortugaal;0613;Albrandswaard;Zuid-Holland;Rotterdam-Rijnmond;Rotterdam;DCMR
3161;2362;Rhoon;0613;Albrandswaard;Zuid-Holland;Rotterdam-Rijnmond;Rotterdam;DCMR
3162;2362;Rhoon;0613;Albrandswaard;Zuid-Holland;Rotterdam-Rijnmond;Rotterdam;DCMR
3165;2364;Rotterdam-Albrandswaard;0613;Albrandswaard;Zuid-Holland;Rotterdam-Rijnmond;Rotterdam;DCMR
1811;2348;Alkmaar;0361;Alkmaar;Noord-Holland;Noord-Holland-Noord;Noord-Holland;Noord-Holland Noord
1812;2348;Alkmaar;0361;Alkmaar;Noord-Holland;Noord-Holland-Noord;Noord-Holland;Noord-Holland Noord
1813;2348;Alkmaar;0361;Alkmaar;Noord-Holland;Noord-Holland-Noord;Noord-Holland;Noord-Holland Noord
1814;2348;Alkmaar;0361;Alkmaar;Noord-Holland;Noord-Holland-Noord;Noord-Holland;Noord-Holland Noord
1815;2348;Alkmaar;0361;Alkmaar;Noord-Holland;Noord-Holland-Noord;Noord-Holland;Noord-Holland Noord
1816;2348;Alkmaar;0361;Alkmaar;Noord-Holland;Noord-Holland-Noord;Noord-Holland;Noord-Holland Noord
1817;2348;Alkmaar;0361;Alkmaar;Noord-Holland;Noord-Holland-Noord;Noord-Holland;Noord-Holland Noord
1821;2348;Alkmaar;0361;Alkmaar;Noord-Holland;Noord-Holland-Noord;Noord-Holland;Noord-Holland Noord
1822;2348;Alkmaar;0361;Alkmaar;Noord-Holland;Noord-Holland-Noord;Noord-Holland;Noord-Holland Noord
1823;2348;Alkmaar;0361;Alkmaar;Noord-Holland;Noord-Holland-Noord;Noord-Holland;Noord-Holland Noord
1824;2348;Alkmaar;0361;Alkmaar;Noord-Holland;Noord-Holland-Noord;Noord-Holland;Noord-Holland Noord
1825;2348;Alkmaar;0361;Alkmaar;Noord-Holland;Noord-Holland-Noord;Noord-Holland;Noord-Holland Noord
1826;2348;Alkmaar;0361;Alkmaar;Noord-Holland;Noord-Holland-Noord;Noord-Holland;Noord-Holland Noord
1827;2348;Alkmaar;0361;Alkmaar;Noord-Holland;Noord-Holland-Noord;Noord-Holland;Noord-Holland Noord
1483;3553;De Rijp;0361;Alkmaar;Noord-Holland;Noord-Holland-Noord;Noord-Holland;Noord-Holland Noord
1844;1886;Driehuizen;0361;Alkmaar;Noord-Holland;Noord-Holland-Noord;Noord-Holland;Noord-Holland Noord
1847;1886;Driehuizen;0361;Alkmaar;Noord-Holland;Noord-Holland-Noord;Noord-Holland;Noord-Holland Noord
1484;1903;Graft;0361;Alkmaar;Noord-Holland;Noord-Holland-Noord;Noord-Holland;Noord-Holland Noord
1843;1887;Grootschermer;0361;Alkmaar;Noord-Holland;Noord-Holland-Noord;Noord-Holland;Noord-Holland Noord
1831;2349;Koedijk;0361;Alkmaar;Noord-Holland;Noord-Holland-Noord;Noord-Holland;Noord-Holland Noord
1536;3556;Markenbinnen;0361;Alkmaar;Noord-Holland;Noord-Holland-Noord;Noord-Holland;Noord-Holland Noord
1485;1905;Noordeinde;0361;Alkmaar;Noord-Holland;Noord-Holland-Noord;Noord-Holland;Noord-Holland Noord
1487;3554;Oost-Graftdijk;0361;Alkmaar;Noord-Holland;Noord-Holland-Noord;Noord-Holland;Noord-Holland Noord
1842;1888;Oterleek;0361;Alkmaar;Noord-Holland;Noord-Holland-Noord;Noord-Holland;Noord-Holland Noord
1829;2350;Oudorp;0361;Alkmaar;Noord-Holland;Noord-Holland-Noord;Noord-Holland;Noord-Holland Noord
1636;1889;Schermerhorn;0361;Alkmaar;Noord-Holland;Noord-Holland-Noord;Noord-Holland;Noord-Holland Noord
1488;3555;Starnmeer;0361;Alkmaar;Noord-Holland;Noord-Holland-Noord;Noord-Holland;Noord-Holland Noord
1636;1890;Stompetoren;0361;Alkmaar;Noord-Holland;Noord-Holland-Noord;Noord-Holland;Noord-Holland Noord
1841;1890;Stompetoren;0361;Alkmaar;Noord-Holland;Noord-Holland-Noord;Noord-Holland;Noord-Holland Noord
1636;1891;Ursem gem. S;0361;Alkmaar;Noord-Holland;Noord-Holland-Noord;Noord-Holland;Noord-Holland Noord
1646;1891;Ursem gem. S;0361;Alkmaar;Noord-Holland;Noord-Holland-Noord;Noord-Holland;Noord-Holland Noord
1486;1908;West-Graftdijk;0361;Alkmaar;Noord-Holland;Noord-Holland-Noord;Noord-Holland;Noord-Holland Noord
1844;1892;Zuidschermer;0361;Alkmaar;Noord-Holland;Noord-Holland-Noord;Noord-Holland;Noord-Holland Noord
1846;1892;Zuidschermer;0361;Alkmaar;Noord-Holland;Noord-Holland-Noord;Noord-Holland;Noord-Holland Noord
1847;1892;Zuidschermer;0361;Alkmaar;Noord-Holland;Noord-Holland-Noord;Noord-Holland;Noord-Holland Noord
7611;1925;Aadorp;0141;Almelo;Overijssel;Twente;Oost-Nederland;RUD Twente
7601;1924;Almelo;0141;Almelo;Overijssel;Twente;Oost-Nederland;RUD Twente
7602;1924;Almelo;0141;Almelo;Overijssel;Twente;Oost-Nederland;RUD Twente
7603;1924;Almelo;0141;Almelo;Overijssel;Twente;Oost-Nederland;RUD Twente
7604;1924;Almelo;0141;Almelo;Overijssel;Twente;Oost-Nederland;RUD Twente
7605;1924;Almelo;0141;Almelo;Overijssel;Twente;Oost-Nederland;RUD Twente
7606;1924;Almelo;0141;Almelo;Overijssel;Twente;Oost-Nederland;RUD Twente
7607;1924;Almelo;0141;Almelo;Overijssel;Twente;Oost-Nederland;RUD Twente
7608;1924;Almelo;0141;Almelo;Overijssel;Twente;Oost-Nederland;RUD Twente
7609;1924;Almelo;0141;Almelo;Overijssel;Twente;Oost-Nederland;RUD Twente
7610;1924;Almelo;0141;Almelo;Overijssel;Twente;Oost-Nederland;RUD Twente
7627;1926;Bornerbroek;0141;Almelo;Overijssel;Twente;Oost-Nederland;RUD Twente
1309;1270;Almere;0034;Almere;Flevoland;Flevoland;Midden-Nederland;Flevoland en Gooi & Vechtstreek
1311;1270;Almere;0034;Almere;Flevoland;Flevoland;Midden-Nederland;Flevoland en Gooi & Vechtstreek
1312;1270;Almere;0034;Almere;Flevoland;Flevoland;Midden-Nederland;Flevoland en Gooi & Vechtstreek
1313;1270;Almere;0034;Almere;Flevoland;Flevoland;Midden-Nederland;Flevoland en Gooi & Vechtstreek
1314;1270;Almere;0034;Almere;Flevoland;Flevoland;Midden-Nederland;Flevoland en Gooi & Vechtstreek
1315;1270;Almere;0034;Almere;Flevoland;Flevoland;Midden-Nederland;Flevoland en Gooi & Vechtstreek
1316;1270;Almere;0034;Almere;Flevoland;Flevoland;Midden-Nederland;Flevoland en Gooi & Vechtstreek
1317;1270;Almere;0034;Almere;Flevoland;Flevoland;Midden-Nederland;Flevoland en Gooi & Vechtstreek
1318;1270;Almere;0034;Almere;Flevoland;Flevoland;Midden-Nederland;Flevoland en Gooi & Vechtstreek
1319;1270;Almere;0034;Almere;Flevoland;Flevoland;Midden-Nederland;Flevoland en Gooi & Vechtstreek
1321;1270;Almere;0034;Almere;Flevoland;Flevoland;Midden-Nederland;Flevoland en Gooi & Vechtstreek
1322;1270;Almere;0034;Almere;Flevoland;Flevoland;Midden-Nederland;Flevoland en Gooi & Vechtstreek
1323;1270;Almere;0034;Almere;Flevoland;Flevoland;Midden-Nederland;Flevoland en Gooi & Vechtstreek
1324;1270;Almere;0034;Almere;Flevoland;Flevoland;Midden-Nederland;Flevoland en Gooi & Vechtstreek
1325;1270;Almere;0034;Almere;Flevoland;Flevoland;Midden-Nederland;Flevoland en Gooi & Vechtstreek
1326;1270;Almere;0034;Almere;Flevoland;Flevoland;Midden-Nederland;Flevoland en Gooi & Vechtstreek
1327;1270;Almere;0034;Almere;Flevoland;Flevoland;Midden-Nederland;Flevoland en Gooi & Vechtstreek
1328;1270;Almere;0034;Almere;Flevoland;Flevoland;Midden-Nederland;Flevoland en Gooi & Vechtstreek
1329;1270;Almere;0034;Almere;Flevoland;Flevoland;Midden-Nederland;Flevoland en Gooi & Vechtstreek
1331;1270;Almere;0034;Almere;Flevoland;Flevoland;Midden-Nederland;Flevoland en Gooi & Vechtstreek
1332;1270;Almere;0034;Almere;Flevoland;Flevoland;Midden-Nederland;Flevoland en Gooi & Vechtstreek
1333;1270;Almere;0034;Almere;Flevoland;Flevoland;Midden-Nederland;Flevoland en Gooi & Vechtstreek
1334;1270;Almere;0034;Almere;Flevoland;Flevoland;Midden-Nederland;Flevoland en Gooi & Vechtstreek
1335;1270;Almere;0034;Almere;Flevoland;Flevoland;Midden-Nederland;Flevoland en Gooi & Vechtstreek
1336;1270;Almere;0034;Almere;Flevoland;Flevoland;Midden-Nederland;Flevoland en Gooi & Vechtstreek
1338;1270;Almere;0034;Almere;Flevoland;Flevoland;Midden-Nederland;Flevoland en Gooi & Vechtstreek
1339;1270;Almere;0034;Almere;Flevoland;Flevoland;Midden-Nederland;Flevoland en Gooi & Vechtstreek
1341;1270;Almere;0034;Almere;Flevoland;Flevoland;Midden-Nederland;Flevoland en Gooi & Vechtstreek
1343;1270;Almere;0034;Almere;Flevoland;Flevoland;Midden-Nederland;Flevoland en Gooi & Vechtstreek
1349;1270;Almere;0034;Almere;Flevoland;Flevoland;Midden-Nederland;Flevoland en Gooi & Vechtstreek
1351;1270;Almere;0034;Almere;Flevoland;Flevoland;Midden-Nederland;Flevoland en Gooi & Vechtstreek
1352;1270;Almere;0034;Almere;Flevoland;Flevoland;Midden-Nederland;Flevoland en Gooi & Vechtstreek
1353;1270;Almere;0034;Almere;Flevoland;Flevoland;Midden-Nederland;Flevoland en Gooi & Vechtstreek
1354;1270;Almere;0034;Almere;Flevoland;Flevoland;Midden-Nederland;Flevoland en Gooi & Vechtstreek
1355;1270;Almere;0034;Almere;Flevoland;Flevoland;Midden-Nederland;Flevoland en Gooi & Vechtstreek
1356;1270;Almere;0034;Almere;Flevoland;Flevoland;Midden-Nederland;Flevoland en Gooi & Vechtstreek
1357;1270;Almere;0034;Almere;Flevoland;Flevoland;Midden-Nederland;Flevoland en Gooi & Vechtstreek
1358;1270;Almere;0034;Almere;Flevoland;Flevoland;Midden-Nederland;Flevoland en Gooi & Vechtstreek
1359;1270;Almere;0034;Almere;Flevoland;Flevoland;Midden-Nederland;Flevoland en Gooi & Vechtstreek
1361;1270;Almere;0034;Almere;Flevoland;Flevoland;Midden-Nederland;Flevoland en Gooi & Vechtstreek
1362;1270;Almere;0034;Almere;Flevoland;Flevoland;Midden-Nederland;Flevoland en Gooi & Vechtstreek
1363;1270;Almere;0034;Almere;Flevoland;Flevoland;Midden-Nederland;Flevoland en Gooi & Vechtstreek
2445;1079;Aarlanderveen;0484;Alphen aan den Rijn;Zuid-Holland;Hollands Midden;Den Haag;West-Holland
2401;1080;Alphen aan den Rijn;0484;Alphen aan den Rijn;Zuid-Holland;Hollands Midden;Den Haag;West-Holland
2402;1080;Alphen aan den Rijn;0484;Alphen aan den Rijn;Zuid-Holland;Hollands Midden;Den Haag;West-Holland
2403;1080;Alphen aan den Rijn;0484;Alphen aan den Rijn;Zuid-Holland;Hollands Midden;Den Haag;West-Holland
2404;1080;Alphen aan den Rijn;0484;Alphen aan den Rijn;Zuid-Holland;Hollands Midden;Den Haag;West-Holland
2405;1080;Alphen aan den Rijn;0484;Alphen aan den Rijn;Zuid-Holland;Hollands Midden;Den Haag;West-Holland
2406;1080;Alphen aan den Rijn;0484;Alphen aan den Rijn;Zuid-Holland;Hollands Midden;Den Haag;West-Holland
2407;1080;Alphen aan den Rijn;0484;Alphen aan den Rijn;Zuid-Holland;Hollands Midden;Den Haag;West-Holland
2408;1080;Alphen aan den Rijn;0484;Alphen aan den Rijn;Zuid-Holland;Hollands Midden;Den Haag;West-Holland
2409;1080;Alphen aan den Rijn;0484;Alphen aan den Rijn;Zuid-Holland;Hollands Midden;Den Haag;West-Holland
2731;2853;Benthuizen;0484;Alphen aan den Rijn;Zuid-Holland;Hollands Midden;Den Haag;West-Holland
2771;2998;Boskoop;0484;Alphen aan den Rijn;Zuid-Holland;Hollands Midden;Den Haag;West-Holland
2391;2852;Hazerswoude-Dorp;0484;Alphen aan den Rijn;Zuid-Holland;Hollands Midden;Den Haag;West-Holland
2404;2852;Hazerswoude-Dorp;0484;Alphen aan den Rijn;Zuid-Holland;Hollands Midden;Den Haag;West-Holland
2409;2852;Hazerswoude-Dorp;0484;Alphen aan den Rijn;Zuid-Holland;Hollands Midden;Den Haag;West-Holland
2394;2851;Hazerswoude-Rijndijk;0484;Alphen aan den Rijn;Zuid-Holland;Hollands Midden;Den Haag;West-Holland
2396;2850;Koudekerk aan den Rijn;0484;Alphen aan den Rijn;Zuid-Holland;Hollands Midden;Den Haag;West-Holland
2471;1081;Zwammerdam;0484;Alphen aan den Rijn;Zuid-Holland;Hollands Midden;Den Haag;West-Holland
5131;3432;Alphen;1723;Alphen-Chaam;Noord-Brabant;Midden- en West-Brabant;Zeeland - West-Brabant;Midden- en West-Brabant
4859;3437;Bavel AC;1723;Alphen-Chaam;Noord-Brabant;Midden- en West-Brabant;Zeeland - West-Brabant;Midden- en West-Brabant
4861;3433;Chaam;1723;Alphen-Chaam;Noord-Brabant;Midden- en West-Brabant;Zeeland - West-Brabant;Midden- en West-Brabant
4855;3434;Galder;1723;Alphen-Chaam;Noord-Brabant;Midden- en West-Brabant;Zeeland - West-Brabant;Midden- en West-Brabant
4856;3435;Strijbeek;1723;Alphen-Chaam;Noord-Brabant;Midden- en West-Brabant;Zeeland - West-Brabant;Midden- en West-Brabant
4858;3436;Ulvenhout AC;1723;Alphen-Chaam;Noord-Brabant;Midden- en West-Brabant;Zeeland - West-Brabant;Midden- en West-Brabant
9162;2587;Ballum;0060;Ameland;Friesland;Fryslƒn;Noord-Nederland;FUMO
9164;2589;Buren;0060;Ameland;Friesland;Fryslƒn;Noord-Nederland;FUMO
9161;2586;Hollum;0060;Ameland;Friesland;Fryslƒn;Noord-Nederland;FUMO
9163;2588;Nes;0060;Ameland;Friesland;Fryslƒn;Noord-Nederland;FUMO
3811;1664;Amersfoort;0307;Amersfoort;Utrecht;Utrecht;Midden-Nederland;RUD Utrecht
3812;1664;Amersfoort;0307;Amersfoort;Utrecht;Utrecht;Midden-Nederland;RUD Utrecht
3813;1664;Amersfoort;0307;Amersfoort;Utrecht;Utrecht;Midden-Nederland;RUD Utrecht
3814;1664;Amersfoort;0307;Amersfoort;Utrecht;Utrecht;Midden-Nederland;RUD Utrecht
3815;1664;Amersfoort;0307;Amersfoort;Utrecht;Utrecht;Midden-Nederland;RUD Utrecht
3816;1664;Amersfoort;0307;Amersfoort;Utrecht;Utrecht;Midden-Nederland;RUD Utrecht
3817;1664;Amersfoort;0307;Amersfoort;Utrecht;Utrecht;Midden-Nederland;RUD Utrecht
3818;1664;Amersfoort;0307;Amersfoort;Utrecht;Utrecht;Midden-Nederland;RUD Utrecht
3819;1664;Amersfoort;0307;Amersfoort;Utrecht;Utrecht;Midden-Nederland;RUD Utrecht
3821;1664;Amersfoort;0307;Amersfoort;Utrecht;Utrecht;Midden-Nederland;RUD Utrecht
3822;1664;Amersfoort;0307;Amersfoort;Utrecht;Utrecht;Midden-Nederland;RUD Utrecht
3823;1664;Amersfoort;0307;Amersfoort;Utrecht;Utrecht;Midden-Nederland;RUD Utrecht
3824;1664;Amersfoort;0307;Amersfoort;Utrecht;Utrecht;Midden-Nederland;RUD Utrecht
3825;1664;Amersfoort;0307;Amersfoort;Utrecht;Utrecht;Midden-Nederland;RUD Utrecht
3826;1664;Amersfoort;0307;Amersfoort;Utrecht;Utrecht;Midden-Nederland;RUD Utrecht
3828;1665;Hoogland;0307;Amersfoort;Utrecht;Utrecht;Midden-Nederland;RUD Utrecht
3829;1666;Hooglanderveen;0307;Amersfoort;Utrecht;Utrecht;Midden-Nederland;RUD Utrecht
3836;1667;Stoutenburg Noord;0307;Amersfoort;Utrecht;Utrecht;Midden-Nederland;RUD Utrecht
1181;1050;Amstelveen;0362;Amstelveen;Noord-Holland;Amsterdam-Amstelland;Amsterdam;Noordzeekanaalgebied
1182;1050;Amstelveen;0362;Amstelveen;Noord-Holland;Amsterdam-Amstelland;Amsterdam;Noordzeekanaalgebied
1183;1050;Amstelveen;0362;Amstelveen;Noord-Holland;Amsterdam-Amstelland;Amsterdam;Noordzeekanaalgebied
1184;1050;Amstelveen;0362;Amstelveen;Noord-Holland;Amsterdam-Amstelland;Amsterdam;Noordzeekanaalgebied
1185;1050;Amstelveen;0362;Amstelveen;Noord-Holland;Amsterdam-Amstelland;Amsterdam;Noordzeekanaalgebied
1186;1050;Amstelveen;0362;Amstelveen;Noord-Holland;Amsterdam-Amstelland;Amsterdam;Noordzeekanaalgebied
1187;1050;Amstelveen;0362;Amstelveen;Noord-Holland;Amsterdam-Amstelland;Amsterdam;Noordzeekanaalgebied
1188;1050;Amstelveen;0362;Amstelveen;Noord-Holland;Amsterdam-Amstelland;Amsterdam;Noordzeekanaalgebied
1189;1050;Amstelveen;0362;Amstelveen;Noord-Holland;Amsterdam-Amstelland;Amsterdam;Noordzeekanaalgebied
1011;3594;Amsterdam;0363;Amsterdam;Noord-Holland;Amsterdam-Amstelland;Amsterdam;Noordzeekanaalgebied
1012;3594;Amsterdam;0363;Amsterdam;Noord-Holland;Amsterdam-Amstelland;Amsterdam;Noordzeekanaalgebied
1013;3594;Amsterdam;0363;Amsterdam;Noord-Holland;Amsterdam-Amstelland;Amsterdam;Noordzeekanaalgebied
1014;3594;Amsterdam;0363;Amsterdam;Noord-Holland;Amsterdam-Amstelland;Amsterdam;Noordzeekanaalgebied
1015;3594;Amsterdam;0363;Amsterdam;Noord-Holland;Amsterdam-Amstelland;Amsterdam;Noordzeekanaalgebied
1016;3594;Amsterdam;0363;Amsterdam;Noord-Holland;Amsterdam-Amstelland;Amsterdam;Noordzeekanaalgebied
1017;3594;Amsterdam;0363;Amsterdam;Noord-Holland;Amsterdam-Amstelland;Amsterdam;Noordzeekanaalgebied
1018;3594;Amsterdam;0363;Amsterdam;Noord-Holland;Amsterdam-Amstelland;Amsterdam;Noordzeekanaalgebied
1019;3594;Amsterdam;0363;Amsterdam;Noord-Holland;Amsterdam-Amstelland;Amsterdam;Noordzeekanaalgebied
1021;3594;Amsterdam;0363;Amsterdam;Noord-Holland;Amsterdam-Amstelland;Amsterdam;Noordzeekanaalgebied
1022;3594;Amsterdam;0363;Amsterdam;Noord-Holland;Amsterdam-Amstelland;Amsterdam;Noordzeekanaalgebied
1023;3594;Amsterdam;0363;Amsterdam;Noord-Holland;Amsterdam-Amstelland;Amsterdam;Noordzeekanaalgebied
1024;3594;Amsterdam;0363;Amsterdam;Noord-Holland;Amsterdam-Amstelland;Amsterdam;Noordzeekanaalgebied
1025;3594;Amsterdam;0363;Amsterdam;Noord-Holland;Amsterdam-Amstelland;Amsterdam;Noordzeekanaalgebied
1026;3594;Amsterdam;0363;Amsterdam;Noord-Holland;Amsterdam-Amstelland;Amsterdam;Noordzeekanaalgebied
1027;3594;Amsterdam;0363;Amsterdam;Noord-Holland;Amsterdam-Amstelland;Amsterdam;Noordzeekanaalgebied
1028;3594;Amsterdam;0363;Amsterdam;Noord-Holland;Amsterdam-Amstelland;Amsterdam;Noordzeekanaalgebied
1031;3594;Amsterdam;0363;Amsterdam;Noord-Holland;Amsterdam-Amstelland;Amsterdam;Noordzeekanaalgebied
1032;3594;Amsterdam;0363;Amsterdam;Noord-Holland;Amsterdam-Amstelland;Amsterdam;Noordzeekanaalgebied
1033;3594;Amsterdam;0363;Amsterdam;Noord-Holland;Amsterdam-Amstelland;Amsterdam;Noordzeekanaalgebied
1034;3594;Amsterdam;0363;Amsterdam;Noord-Holland;Amsterdam-Amstelland;Amsterdam;Noordzeekanaalgebied
